DocNo,MaterialNo,StorageLocation,Qty,Remarks
MDN006055,B191SSV,1001,1,
MDN006055,B208RSV,1001,1,
MDN006058,B237RBK,1001,3,
MDN006058,B237RWH,1001,3,
MDN006058,B238RBK,1001,1,
MDN006058,B238RWH,1001,1,
MDN006061,B237RBK,1001,3,
MDN006061,B237RWH,1001,2,
MDN006061,B238RBK,1001,3,
MDN006061,B238RWH,1001,2,
MDN006062,B226KWH,1001,1,
MDN006062,B226SCD,1001,1,
MDN006062,B228KSV,1001,1,
MDN006062,B228SGY,1001,2,
MDN006062,B229KSV,1001,2,
MDN006062,B229SGY,1001,1,
MDN006071,B237RBK,1001,16,
MDN006071,B237RWH,1001,10,
MDN006071,B238RBK,1001,16,
MDN006071,B238RWH,1001,15,
MDN006072,B237RWH,1001,1,
MDN006072,B238RWH,1001,1,
MDN006073,B226SCD,1001,1,
MDN006074,B192SSV,1001,1,
MDN006075,D101SBK,1001,1,
MDN006075,D101SWH,1001,1,
MDN006075,D101TBK,1001,1,
MDN006075,D101TWH,1001,1,
MDN006075,D102SBK,1001,1,
MDN006075,D102SWH,1001,1,
MDN006075,D102TBK,1001,1,
MDN006076,B209SBK,1001,1,
MDN006076,B209SBU,1001,1,
MDN006076,B209SMW,1001,1,
MDN006077,B247KSV,1001,2,
MDN006077,B247KWH,1001,2,
MDN006077,B247RGY,1001,2,
MDN006077,B247RIY,1001,2,
MDN006077,B247RWH,1001,2,
MDN006078,B247KSV,1001,1,
MDN006078,B247KWH,1001,1,
MDN006078,B247RGY,1001,1,
MDN006078,B247RIY,1001,1,
MDN006078,B247RWH,1001,1,
MDN006079,B187RBK,1001,1,
MDN006079,B187SBK,1001,1,
MDN006079,B187SWH,1001,1,
MDN006079,B189KWH,1001,1,
MDN006079,B189SBK,1001,1,
MDN006079,B189SWH,1001,1,
MDN006079,B194BRD,1001,1,
MDN006079,B197BBM,1001,1,
MDN006079,B210SBK,1001,1,
MDN006079,B210SWH,1001,1,
MDN006079,B210SWL,1001,1,
MDN006079,B221SWH,1001,1,
MDN006079,B221SWL,1001,1,
MDN006079,B222SBK,1001,2,
MDN006079,B222SBL,1001,1,
MDN006079,B222SWH,1001,2,
MDN006079,B222SWL,1001,1,
MDN006079,B223SBK,1001,2,
MDN006079,B223SBL,1001,1,
MDN006079,B223SWH,1001,2,
MDN006079,B223SWL,1001,1,
MDN006079,B225SMP,1001,1,
MDN006079,B233SBL,1001,1,
MDN006080,B245RBR,1001,1,
MDN006081,B177RBK,1001,1,
MDN006081,B180SMW,1001,1,
MDN006081,B180TMW,1001,1,
MDN006081,B208TCM,1001,1,
MDN006082,300.30r.012.01,1001,1,
MDN006082,300.35.232.01,1001,1,
MDN006083,B210SBK,1001,1,
MDN006083,B222SWL,1001,1,
MDN006084,B237RBK,1001,2,
MDN006084,B237RWH,1001,2,
MDN006084,B238RBK,1001,2,
MDN006084,B238RWH,1001,2,
MDN006085,B248RML,1001,1,
MDN006085,B248SML,1001,1,
MDN006085,B248SMW,1001,1,
MDN006085,B249SMD,1001,1,
MDN006085,B249SMD-L,1001,1,
MDN006085,B250SMD,1001,1,
MDN006085,B250SMW,1001,1,
MDN006085,B251RML,1001,1,
MDN006085,B251SML,1001,1,
MDN006085,B251SMW,1001,1,
MDN006086,B171SBK,1001,30,
MDN006086,B200TCM,1001,25,
MDN006086,B226SCR,1001,20,
MDN006086,B228SGY,1001,10,
MDN006086,B229SGY,1001,10,
MDN006086,B232BOG,1001,8,
MDN006086,B232SOG,1001,12,
MDN006086,B232SPL,1001,5,
MDN006086,B234RWH,1001,20,
MDN006086,B234SBU,1001,15,
MDN006086,B234SIY,1001,15,
MDN006086,B234TBK,1001,20,
MDN006086,B234TWH,1001,20,
MDN006086,B235RWH,1001,10,
MDN006086,B235SBU,1001,8,
MDN006086,B235SIY,1001,10,
