DocNo,MovementType,RefDocNo,VendorID,CustomerID,DocDate,PeriodID,GCInvoiceNo,LongText,PostedBy,PostedDate,Remarks
MDN006055,201,,GC,K014,2008/1/2,,I-5093,- Invoice No : MI003586,Admin,2009/2/25,
MDN006058,201,,,L001,2008/1/2,,I-5096,"- Invoice No : MI003587
- New Launch Promotion",Admin,2009/2/25,
MDN006061,201,,,L003,2008/1/2,,I-5099,"- Invoice No : MI003590
- New Launch Promotion",Admin,2009/2/25,
MDN006062,201,,,K008,2008/1/2,,I-5100,- Invoice No : MI003591,Admin,2009/2/25,
MDN006071,201,,,K016,2008/1/7,,I-5109,"- Invoice No : MI003599
- Special discount to Kaiser Staff",Admin,2009/2/25,
MDN006072,201,,,T004,2008/1/2,,I-5110,"- Invoice No : MI003600
- New Launch Promotion 補貨",Admin,2009/2/25,
MDN006073,211,,,T017,2008/1/2,,I-5111,- 補貨    [MC001199],Admin,2009/2/25,
MDN006074,201,,,S009,2008/1/2,,I-5112,- Invoice No : MI003601,Admin,2009/2/25,
MDN006075,211,,,S016,2008/1/3,,I-5113,- New models for consignment,Admin,2009/2/25,
MDN006076,211,,,P005,2008/1/2,,I-5114,- 補貨    [MC001200],Admin,2009/2/25,
MDN006077,211,,,D003,2008/1/2,,I-5115,- Sample for Danny,Admin,2009/2/25,
MDN006078,211,,,B006,2008/1/2,,I-5116,- 借出外影相,Admin,2009/2/25,
MDN006079,201,,,K001,2008/1/2,,I-5117,- Invoice No : Mi003602,Admin,2009/2/25,
MDN006080,201,,,K001,2008/1/2,,I-5118,"- Invoice No : MI003603
- B245RBR Serial No : 28/99",Admin,2009/2/25,
MDN006081,211,,,T025,2008/1/2,,I-5119,- 補貨 [ MC001201],Admin,2009/2/25,
MDN006082,211,,,T025,2008/1/2,,I-5120,- 補貨    [MC001203],Admin,2009/2/25,
MDN006083,211,,,T025,2008/1/2,,I-5121,- 補貨   [MC001204],Admin,2009/2/25,
MDN006084,201,,,N007,2008/1/3,,I-5122,"- Invoice No : MI003604
- New Launch Promotion",Admin,2009/2/25,
MDN006085,201,,,L005,2008/1/3,,I-5123,- Invoice No : MI003604,Admin,2009/2/25,
MDN006086,204,,,M010,2008/1/3,,I-5124,- MR-DNG- 176,Admin,2009/2/25,
MDN006087,209,,,K016,2008/1/7,,I-5125,"- F.O.C .  [ For Kaiser's Salesman Sample ]
- Serial No : B237RBK 07A1199, B238RBK 07A1243, B238RWH 07A0253, B238RWH 07A1517",Admin,2009/2/25,
MDN006088,211,,,C009,2008/1/3,,I-5126,- 補貨   POP1726200801001,Admin,2009/2/25,
MDN006089,211,,,T022,2008/1/3,,I-5127,- 補貨   [ MC001207 ],Admin,2009/2/25,
MDN006090,211,,,C009,2008/1/3,,I-5128,- 補貨   POP1726200801001,Admin,2009/2/25,
MDN006091,201,,,P008,2008/1/4,,I-5129,"- Invoice No : MI003606
- New Launch Promotion",Admin,2009/2/25,
MDN006092,201,,,P008,2008/1/4,,I-5130,- Invoice No : MI003607,Admin,2009/2/25,
MDN006093,201,,,M005,2008/1/4,,I-5131,- Invoice No : MI003608,Admin,2009/2/25,
MDN006094,201,,,L005,2008/1/7,,I-5132,- Invoice No : MI003609,Admin,2009/2/25,
MDN006095,201,,,G006,2008/1/7,,I-5133,- Invoice No : MI003610,Admin,2009/2/25,
