account number,name,sku,quantity,unit price,ext price,date
740150,Barton LLC,B1-20000,39,86.69,3380.91,2014-01-01 07:21:51
714466,Trantow-Barrows,S2-77896,-1,63.16,-63.16,2014-01-01 10:00:47
218895,Kulas Inc,B1-69924,23,90.7,2086.1,2014-01-01 13:24:58
307599,"Kassulke, Ondricka and Metz",S1-65481,41,21.05,863.05,2014-01-01 15:05:22
412290,Jerde-Hilpert,S2-34077,6,83.21,499.26,2014-01-01 23:26:55
714466,Trantow-Barrows,S2-77896,17,87.63,1489.71,2014-01-02 10:07:15
218895,Kulas Inc,B1-65551,2,31.1,62.2,2014-01-02 10:57:23
729833,Koepp Ltd,S1-30248,8,33.25,266,2014-01-03 06:32:11
714466,Trantow-Barrows,S1-50961,22,84.09,1849.98,2014-01-03 11:29:02
737550,"Fritsch, Russel and Anderson",S2-82423,14,81.92,1146.88,2014-01-03 19:07:37
146832,Kiehn-Spinka,S2-82423,15,67.74,1016.1,2014-01-03 19:39:53
688981,Keeling LLC,S2-00301,7,20.26,141.82,2014-01-04 00:02:36
786968,"Frami, Hills and Schmidt",S2-23246,6,61.31,367.86,2014-01-04 06:51:53
307599,"Kassulke, Ondricka and Metz",S2-10342,17,12.44,211.48,2014-01-04 07:53:01
737550,"Fritsch, Russel and Anderson",B1-53102,23,71.56,1645.88,2014-01-04 08:57:48
239344,Stokes LLC,S1-06532,34,71.51,2431.34,2014-01-04 11:34:58
672390,Kuhn-Gusikowski,S1-30248,14,72.75,1018.5,2014-01-04 19:59:02
239344,Stokes LLC,B1-50809,14,16.23,227.22,2014-01-04 22:14:32
141962,Herman LLC,S1-82801,10,94.3,943,2014-01-05 15:12:16
412290,Jerde-Hilpert,S2-00301,33,31.18,1028.94,2014-01-05 22:39:21
424914,White-Trantow,S2-00301,45,96.95,4362.75,2014-01-06 08:20:27
527099,Sanford and Sons,S1-30248,24,50.29,1206.96,2014-01-06 14:14:00
786968,"Frami, Hills and Schmidt",B1-04202,2,52.41,104.82,2014-01-06 15:53:49
714466,Trantow-Barrows,S1-30248,-1,16.97,-16.97,2014-01-06 18:27:28
786968,"Frami, Hills and Schmidt",S2-83881,34,60.41,2053.94,2014-01-06 23:38:31
729833,Koepp Ltd,S2-78676,5,14.75,73.75,2014-01-07 00:29:41
737550,"Fritsch, Russel and Anderson",B1-53636,42,42.06,1766.52,2014-01-08 00:02:11
672390,Kuhn-Gusikowski,S2-83881,42,63.87,2682.54,2014-01-08 10:00:08
714466,Trantow-Barrows,B1-38851,4,60.04,240.16,2014-01-08 11:50:18
729833,Koepp Ltd,B1-86481,6,81.79,490.74,2014-01-08 17:46:40
642753,Pollich LLC,S1-93683,4,87.18,348.72,2014-01-09 00:57:12
714466,Trantow-Barrows,B1-33087,32,19.56,625.92,2014-01-09 10:16:32
737550,"Fritsch, Russel and Anderson",S1-27722,20,29.54,590.8,2014-01-09 13:20:40
218895,Kulas Inc,S1-06532,3,22.36,67.08,2014-01-09 23:58:27
307599,"Kassulke, Ondricka and Metz",S2-78676,35,33.04,1156.4,2014-01-10 05:26:31
527099,Sanford and Sons,S1-27722,48,43.4,2083.2,2014-01-10 10:59:39
218895,Kulas Inc,S2-34077,16,73.04,1168.64,2014-01-10 12:07:30
383080,Will LLC,S2-23246,23,59.98,1379.54,2014-01-10 13:44:08
383080,Will LLC,B1-05914,25,98.46,2461.5,2014-01-10 15:12:00
729833,Koepp Ltd,B1-33364,7,10.87,76.09,2014-01-10 22:07:35
714466,Trantow-Barrows,B1-65551,48,69.36,3329.28,2014-01-10 23:01:24
146832,Kiehn-Spinka,S2-16558,22,87.91,1934.02,2014-01-11 21:48:26
737550,"Fritsch, Russel and Anderson",S1-93683,22,71.68,1576.96,2014-01-11 23:47:36
218895,Kulas Inc,B1-50809,43,47.21,2030.03,2014-01-12 01:54:37
729833,Koepp Ltd,S1-06532,41,80.59,3304.19,2014-01-12 04:47:23
729833,Koepp Ltd,S2-78676,12,41.27,495.24,2014-01-13 00:05:30
383080,Will LLC,S1-93683,45,56.61,2547.45,2014-01-13 02:41:46
218895,Kulas Inc,S1-47412,1,94.01,94.01,2014-01-13 08:36:18
412290,Jerde-Hilpert,S2-77896,12,42.93,515.16,2014-01-13 13:19:20
141962,Herman LLC,B1-53636,4,18.72,74.88,2014-01-13 20:50:52
672390,Kuhn-Gusikowski,S2-23246,25,22.76,569,2014-01-13 23:16:56
257198,"Cronin, Oberbrunner and Spencer",B1-05914,8,23.05,184.4,2014-01-14 01:57:35
424914,White-Trantow,S2-10342,4,20.67,82.68,2014-01-14 15:07:18
412290,Jerde-Hilpert,B1-04202,42,86.4,3628.8,2014-01-14 15:18:51
141962,Herman LLC,S2-00301,22,48.85,1074.7,2014-01-14 23:01:56
688981,Keeling LLC,S2-16558,11,83.56,919.16,2014-01-15 06:52:09
412290,Jerde-Hilpert,S2-10342,6,69.92,419.52,2014-01-15 08:32:25
672390,Kuhn-Gusikowski,S1-30248,12,36.53,438.36,2014-01-15 09:12:52
307599,"Kassulke, Ondricka and Metz",B1-20000,22,37.87,833.14,2014-01-15 16:22:22
141962,Herman LLC,S1-82801,2,12.1,24.2,2014-01-15 17:49:48
412290,Jerde-Hilpert,S2-16558,16,80.93,1294.88,2014-01-16 05:51:27
424914,White-Trantow,B1-38851,47,86.32,4057.04,2014-01-16 06:57:05
141962,Herman LLC,B1-33364,16,13.34,213.44,2014-01-16 09:21:22
